,ts_event,price
0,2024-10-21 11:54:25+00:00,233.54
1,2024-10-21 11:54:30+00:00,
2,2024-10-21 11:54:35+00:00,233.74
3,2024-10-21 11:54:40+00:00,233.7
4,2024-10-21 11:54:45+00:00,
5,2024-10-21 11:54:50+00:00,233.67
6,2024-10-21 11:54:55+00:00,233.75
7,2024-10-21 11:55:00+00:00,
8,2024-10-21 11:55:05+00:00,233.77
9,2024-10-21 11:55:10+00:00,233.59
10,2024-10-21 11:55:15+00:00,
11,2024-10-21 11:55:20+00:00,233.6
12,2024-10-21 11:55:25+00:00,233.73
13,2024-10-21 11:55:30+00:00,233.67
14,2024-10-21 11:55:35+00:00,233.74
15,2024-10-21 11:55:40+00:00,233.54
16,2024-10-21 11:55:45+00:00,
17,2024-10-21 11:55:50+00:00,233.56
18,2024-10-21 11:55:55+00:00,233.47
19,2024-10-21 11:56:00+00:00,
20,2024-10-21 11:56:05+00:00,234.0
21,2024-10-21 11:56:10+00:00,233.78
22,2024-10-21 11:56:15+00:00,233.83
23,2024-10-21 11:56:20+00:00,233.48
24,2024-10-21 11:56:25+00:00,234.0
25,2024-10-21 11:56:30+00:00,233.77
26,2024-10-21 11:56:35+00:00,
27,2024-10-21 11:56:40+00:00,233.72
28,2024-10-21 11:56:45+00:00,233.77
29,2024-10-21 11:56:50+00:00,233.79
30,2024-10-21 11:56:55+00:00,233.78
31,2024-10-21 11:57:00+00:00,233.72
32,2024-10-21 11:57:05+00:00,233.68
33,2024-10-21 11:57:10+00:00,233.59
34,2024-10-21 11:57:15+00:00,233.68
35,2024-10-21 11:57:20+00:00,233.71
36,2024-10-21 11:57:25+00:00,233.78
37,2024-10-21 11:57:30+00:00,233.74
38,2024-10-21 11:57:35+00:00,233.54
39,2024-10-21 11:57:40+00:00,233.5
40,2024-10-21 11:57:45+00:00,233.49
41,2024-10-21 11:57:50+00:00,233.8
42,2024-10-21 11:57:55+00:00,233.79
43,2024-10-21 11:58:00+00:00,
44,2024-10-21 11:58:05+00:00,233.51
45,2024-10-21 11:58:10+00:00,233.78
46,2024-10-21 11:58:15+00:00,233.84
47,2024-10-21 11:58:20+00:00,233.55
48,2024-10-21 11:58:25+00:00,
49,2024-10-21 11:58:30+00:00,233.56
50,2024-10-21 11:58:35+00:00,233.85
51,2024-10-21 11:58:40+00:00,233.5
52,2024-10-21 11:58:45+00:00,
53,2024-10-21 11:58:50+00:00,233.7
54,2024-10-21 11:58:55+00:00,233.7
55,2024-10-21 11:59:00+00:00,233.61
56,2024-10-21 11:59:05+00:00,233.54
57,2024-10-21 11:59:10+00:00,
58,2024-10-21 11:59:15+00:00,
59,2024-10-21 11:59:20+00:00,233.84
60,2024-10-21 11:59:25+00:00,233.6
61,2024-10-21 11:59:30+00:00,233.6
62,2024-10-21 11:59:35+00:00,
